mig_ext_attempts,avg_log_income,income_per_capita,mig_ext_cost_total_usd,debt_amount,sucess_yn,institutional_loan_yn
1.0,4.171784677215027,98.13816316774675,2887.0355405671908,1218.6931702996753,0.5753676470588235,0.24007220216606498
2.0,3.664138013100532,54.82687389755555,3581.570818572727,1304.6390687916667,0.6938775510204082,0.2828282828282828
3.0,4.490240094515215,68.6266577864923,4851.185687015548,1643.9087509401538,0.6763285024154589,0.39069767441860465
4.0,3.3820312754490036,41.311111110000006,3413.3410833333332,453.547835,0.875,0.25
5.0,,,2022.0232966666665,,1.0,1.0
