,avg_log_income,log_income_per_capita,migrated_yn,income_satisfaction,income_sufficiency_6m,econ_condition,country
521,5.8888779583328805,3.713572066704308,0,3,5,1,SLV
522,,2.4849066497880004,1,2,5,3,SLV
538,2.8933644974027586,4.418840607796598,0,2,3,2,HND
549,4.225309079906794,4.875197323201151,1,1,1,2,GT
556,,1.1631508098056809,0,2,5,1,HND
557,,1.041453874710514,0,4,5,1,HND
562,,1.1631508098056809,1,2,5,1,HND
563,2.782787722667157,3.1945831322991562,0,4,5,3,GT
566,,0.8649974374866045,1,2,5,2,HND
568,2.6727081641497383,3.970291913552122,0,4,5,3,GT
575,2.4187997883363344,3.9160150266976834,1,3,5,2,HND
585,,1.8718021769015913,0,2,1,2,HND
588,3.7638286348524845,4.010358906209431,0,4,5,2,GT
589,1.800649997764995,2.6390573296152584,1,3,5,1,GT
593,,1.1631508098056809,0,2,3,1,GT
595,3.054676613899617,3.0204248861443626,1,2,3,2,GT
597,,0.7419373447293773,1,2,2,3,GT
646,1.4821184997338472,2.856470206220483,1,3,5,1,HND
647,1.939311065779539,3.391147045808654,1,2,4,2,HND
648,1.1123038631585764,2.5877640352277083,1,3,5,2,HND
649,,1.1631508098056809,0,3,4,2,HND
656,7.741099090035366,6.6433556111959975,0,2,2,2,SLV
662,3.9318256327243257,2.8716796250726913,0,2,5,2,SLV
675,,1.3217558399823195,1,2,5,2,SLV
692,5.303304908059076,3.9318256327243257,0,4,5,1,SLV
696,5.860786223465865,4.767855768548473,0,2,5,2,SLV
698,5.707110264748875,3.6506582412937387,0,3,5,2,SLV
718,,1.041453874710514,0,3,3,1,SLV
724,5.303304908059076,3.9318256327243257,1,2,4,3,SLV
734,0.9936705741897145,2.4203681286504293,1,4,5,1,HND
744,5.303304908059076,3.5361166994644386,0,3,2,2,SLV
752,5.017279836814924,2.9831534913471307,0,3,5,2,SLV
778,5.993961427306569,4.214593690422939,0,3,3,2,SLV
781,6.311734809152915,5.216745712673394,0,2,3,2,SLV
784,6.90875477931522,5.303304908059076,0,1,1,3,SLV
785,5.707110264748875,4.330733340286331,1,2,2,2,SLV
791,7.00397413672268,5.9071767306760545,1,1,1,2,SLV
792,6.90875477931522,5.812138499194125,1,2,3,2,SLV
794,5.860786223465865,4.083171261567796,1,3,2,2,SLV
799,,1.5404450410185773,0,2,4,1,HND
801,1.2674253766594872,2.7957557815213154,0,2,5,1,HND
802,1.2674253766594872,2.7957557815213154,0,2,5,1,HND
803,2.4165194876792233,4.418840607796598,1,2,2,2,HND
804,1.4821184997338472,3.068052935133617,0,2,2,1,HND
812,2.5578408440481866,4.287028906051602,0,4,5,2,HND
813,2.4165194876792233,4.135166556742356,0,3,5,1,HND
814,0.8590449353929253,2.0228711901914416,1,4,4,1,HND
816,2.5578408440481866,3.888413139720753,0,2,3,2,HND
823,2.681641062790814,4.198704577546343,0,2,5,1,HND
824,2.7813047458570113,3.531427877691953,0,3,5,1,HND
